ID,WCAG SC,Level,Task,"Main Role","Starter List","Primary Ownership","Secondary Ownership",Contributor
IMG-001,1.1.1,A,"Informative alternate text is provided for images (i.e. not ""spacer"" or image file name).",Author,,"Content Authoring","User Experience (UX) Design",none
IMG-002,1.1.1,A,"Informative images are described with a clear and meaningful text equivalent (alt attribute or other equivalent means).",Author,x,"Content Authoring",none,none
IMG-003,1.1.1,A,"Purely decorative images are provided with null alt attribute values (or other equivalent means).",Development,,"Front-End Development","Content Authoring",none
IMG-004,1.1.1,A,Null alt attribute values are used for images that are already described in text in adjacent page content.,Development,,"Front-End Development","Content Authoring",none
IMG-005,1.1.1,A,Adjacent linked images and text links pointing the same URL are combined into single links.,Development,,"Front-End Development","User Experience (UX) Design",none
IMG-006,1.1.1,A,Alt text used for images of text include all relevant text found in the image.,Author,,"Content Authoring",none,none
IMG-007,1.1.1,A,"Informative images are marked up as foreground images, and not embedded as part of the CSS.",Development,,"Front-End Development","Content Authoring",none
IMG-008,1.1.1,A,The purpose or function of complex images is accurately described in text.,Author,x,"Content Authoring","User Experience (UX) Design",none
IMG-009,1.1.1,A,"The purpose or function of complex images is conveyed using a text description, via an alt attribute.",Development,,"Front-End Development","Content Authoring","User Experience (UX) Design"
IMG-010,1.1.1,A,The full explanation of complex images is accurately described in text.,Author,x,"Content Authoring",none,none
IMG-011,1.1.1,A,A mechanism that conveys the way through which the full explanation of complex images is defined.,Design,,"User Experience (UX) Design",none,none
IMG-012,1.1.1,A,The full explanation of complex images is provided through the longdesc attribute (or other equivalent means).,Development,,"Front-End Development",none,none
IMG-013,1.1.1,A,"Images primarily conveying function use alternative text to describe their purpose, rather than what they look like.",Author,,"Content Authoring","User Experience (UX) Design",none
IMG-014,1.1.1,A,Text alternatives of static and linked images do not replicate any information that is already being conveyed by screen reader technology.,Author,,"Content Authoring","Front End Development",none
IMG-015,1.1.1,A,Text alternatives of dynamically updated images are simultaneously updated as the images change.,Development,,"Front-End Development","User Experience (UX) Design","Content Authoring"
IMG-016,1.1.1,A,"Alternate means of accessing CAPTCHA information are provided, such as audio CAPTCHA, logical question, or other equivalent means.",Design,x,"Business Analyst","User Experience (UX) Design",none
IMG-017,1.1.1,A,Images which do not convey information are defined as decorative.,Author,,"Content Authoring",none,none
IMG-018,1.1.1,A,"Charts, graphs, infographics and other visual representations of information don't rely on color alone to convey information.",Design,x,"Visual Design","User Experience (UX) Design",none
IMG-019,1.4.5,AA,Text content that conveys information is not part of images.,Design,,"User Experience (UX) Design","Visual Design","Content Authoring"
IMG-020,1.4.5,AA,Text that is placed on top of an image is handled semantically through HTML and CSS instead.,Development,,"Front-End Development","User Experience (UX) Design",none
IMG-021,1.4.5,AA,"Unless a particular presentation of text is essential to the information being conveyed, all images that contain text are only used for purely decorative purposes.",Design,x,"Visual Design","User Experience (UX) Design",none
IMG-022,1.4.9,AAA,"With the exception of logos, all images that contain text are only used for purely decorative purposes.",Design,,"Visual Design","Content Authoring",none
SEM-001,1.3.1,A,Informative content is provided through HTML markup.,Development,,"Front-End Development","User Experience (UX) Design
 Content Authoring",none
SEM-002,1.3.1,A,HTML elements are used according to the HTML specification.,Development,x,"Front-End Development","User Experience (UX) Design",none
SEM-003,1.3.1,A,Navigation groupings are marked up using HTML list or nav elements (or other equivalent means).,Development,,"Front-End Development","User Experience (UX) Design",none
SEM-004,1.3.1,A,Header sections are marked up using HTML header elements (or other equivalent means).,Development,,"Front-End Development","User Experience (UX) Design",none
SEM-005,1.3.1,A,The main section of a page is marked up using a HTML main element (or other equivalent means).,Development,,"Front-End Development","User Experience (UX) Design",none
SEM-006,1.3.1,A,The footer of the page is marked up using a HTML footer element (or other equivalent means).,Development,,"Front-End Development","User Experience (UX) Design",none
SEM-007,1.3.1,A,Content that is complementary to the main section is marked up using HTML aside elements (or other equivalent means).,Development,,"Front-End Development","User Experience (UX) Design",none
SEM-008,1.3.1,A,"HTML elements are used based on the semantics they provide, not based on what they look like.",Development,x,"Front-End Development","User Experience (UX) Design",none
SEM-009,1.3.1,A,"Decorative elements are embedded through the CSS presentation layer (or other equivalent means).",Development,,"Front-End Development","Content Authoring",none
SEM-010,1.3.1,A,"All scripting behaviors are handled through JavaScript.",Development,,"Front-End Development",none,none
SEM-011,1.3.1,A,"Elements that act as headings are marked up as such.",Development,x,"Front-End Development","User Experience (UX) Design",none
SEM-012,1.3.1,A,"Headings follow a hierarchical sequence without skipping any levels.",Author,,"Content Authoring","User Experience (UX) Design",none
SEM-013,1.3.1,A,"Headings are marked up using h1 to h6 elements or other equivalent means.",Development,,"Front-End Development","User Experience (UX) Design
 Content Authoring",none
SEM-014,1.3.1,A,"Page contains a level 1 heading that describes the page content.",Development,,"Front-End Development","User Experience (UX) Design
 Content Authoring",none
SEM-015,1.3.1,A,"Whitespace or pre-formatted text is not used to render content to appear as multiple columns or tabular information.",Development,,"Front-End Development",none,none
SEM-016,1.3.1,A,"Use of native, semantic HTML elements are prioritized over other methods.",Development,,"Front-End Development","User Experience (UX) Design",none
SEM-017,1.3.2,A,"The source code (or DOM) order matches the suggested visual order of the design.",Development,x,"Front-End Development","User Experience (UX) Design",none
SEM-018,2.4.1,A,"iFrames displaying content are provided with a clear, informative title attribute value.",Design,x,"User Experience (UX) Design","Content Authoring",none
SEM-019,2.4.2,A,Page title text matches the level 1 heading text.,Author,,"Content Authoring",none,none
SEM-020,2.4.2,A,Pages are described using unique and descriptive page title values.,Author,x,"Content Authoring",none,none
SEM-021,2.4.3,A,The tab order logically and predictably follows the expected interaction order of the visual design.,Development,,"Front-End Development","User Experience (UX) Design",none
SEM-022,2.4.6,AA,"Heading text meaningfully describes the content's topic or purpose.",Author,x,"Content Authoring",none,none
SEM-023,2.4.6,AA,The main heading of the page describes the content of the page.,Author,x,"Content Authoring",none,none
SEM-024,4.1.1,A,"Source code is properly nested, according to its specification.",Development,,"Front-End Development",none,none
