ID,WCAG SC,Level,Business,Content Authoring,Visual Design,User Experience (UX) Design,Front-End Development
1,1.1.1,A,C,"P, S, C","P, S, C","P, S, C","P, C"
2,1.2.1,A,,"P, S","S","P, S",
3,1.2.2,A,,"P",,"P, S",
4,1.2.3,A,,"P",,,
5,1.2.4,AA,,"P",,"S",
6,1.2.5,AA,,"P",,"P",
7,1.2.6,AAA,,"P",,"S",
8,1.2.7,AAA,,"P",,"S",
9,1.2.8,AAA,,"P, S",,"P, S",
10,1.2.9,AAA,,"P",,"S",
11,1.3.1,A,,"P, S, C","P, S, C","P, S, C","P, S"
12,1.3.2,A,,,"S","P, S","P, S"
13,1.3.3,A,"P","P, S, C","P, S","P, S","P"
14,1.3.4,AA,,,"S","P",
15,1.3.5,AA,,,,"P, C","P"
16,1.3.6,AAA,,,,C,"P"
17,1.4.1,A,,"S","P, S","P, S",
18,1.4.2,A,,,,"P, S",
19,1.4.3,AA,,,"P",,
20,1.4.4,AA,,,C,"P, S","P"
21,1.4.5,AA,,"S, C","P, S",,"P"
22,1.4.6,AAA,,,"P",,
23,1.4.7,AAA,,"P",,C,"P"
24,1.4.8,AAA,,,"P","P","S"
25,1.4.9,AAA,,"S","P",,
26,1.4.10,AA,,,"P, S","P","S"
27,1.4.11,AA,,,"P",,
28,1.4.12,AA,,,"P",,"S"
29,1.4.13,AA,,,,"P","S"
30,2.1.1,A,,,"S","P, S","P"
31,2.1.2,A,,,,,"P"
32,2.1.3,AAA,,,,"P","S"
33,2.1.4,A,,,,"P",
34,2.2.1,A,"S",,,"P",
35,2.2.2,A,,,"S","P",
36,2.2.3,AAA,,,,"P",
37,2.2.4,AAA,,,,"P",
38,2.2.5,AAA,,,,"P",
39,2.2.6,AAA,,,,"P",
40,2.3.1,A,,,"S","P",
41,2.3.2,AAA,,,"S","P",
42,2.3.3,AAA,,,,"P, S",
43,2.4.1,A,,"P, S, C",,"P, S","P"
44,2.4.2,A,,"P",,"S",
45,2.4.3,A,,,"S, C","P, S, C","P"
46,2.4.4,A,,"P",,,"P"
47,2.4.5,AA,,,,"P",
48,2.4.6,AA,,"P",,"P, S","S"
49,2.4.7,AA,,,"P, S","S","P"
50,2.4.8,AAA,,,"P","S",
51,2.4.9,AAA,,"P",,"S",
52,2.4.10,AAA,,"P",,"S",C
53,2.5.1,A,,,,"P",
54,2.5.2,A,,,,"P",
55,2.5.3,A,,"P",,"S",
56,2.5.4,A,,,,"P",
57,2.5.5,AAA,,,"P",,
58,2.5.6,AAA,,,,"P","S"
59,3.1.1,A,,"P",,,"P"
60,3.1.2,AA,,"P",,,"S"
61,3.1.3,AAA,,"S, C",,"P",
62,3.1.4,AAA,,,,,"P"
63,3.1.5,AAA,,"P, S","P, S","P, S",
64,3.1.6,AAA,,C,,"P","S"
65,3.2.1,A,,,,"P","S"
66,3.2.2,A,,,,"P, S","P, S"
67,3.2.3,AA,,,"S","P",
68,3.2.4,AA,,"P","P","S",
69,3.2.5,AAA,,"S","S","P","P"
70,3.3.1,A,,,"P, S","P, S",
71,3.3.2,A,,"P","P, S, C","P, S","P"
72,3.3.3,AA,,"P, S, C","S","P, S","P"
73,3.3.4,AA,"S",,,"P",C
74,3.3.5,AAA,,"P",,"S",
75,3.3.6,AAA,"S",,,"P",
76,4.1.1,A,,,,,"P"
77,4.1.2,A,,C,,"P, S","P"
78,4.1.3,AA,,,,"P, S","P"
